B1x,B2x,B3x,B4x
-0.09459287,-0.093816504,-0.09081186,-0.09096875
-0.09490264,-0.09561954,-0.091496184,-0.091259964
-0.09618682,-0.09621255,-0.09391645,-0.09259687
-0.09561274,-0.09577696,-0.09299297,-0.09348476
-0.09513306,-0.09595181,-0.093756095,-0.09290171
-0.09588237,-0.09453184,-0.09273472,-0.10476885
-0.095573284,-0.09535371,-0.09315249,-0.018549267
-0.09595181,-0.09499635,-0.09328638,-0.09992759
-0.09588208,-0.09669785,-0.09410791,-0.05690332
-0.09476797,-0.094948776,-0.093294084,-0.079500735
-0.095354594,-0.09481128,-0.09345493,-0.11505629
-0.09508901,-0.09464155,-0.09306602,-0.07744229
-0.094984815,-0.09476684,-0.0928082,-0.091821246
-0.095329486,-0.09528711,-0.09402193,-0.091427684
-0.09557793,-0.09460293,-0.09300879,-0.09181206
-0.095716015,-0.094678804,-0.09230054,-0.092646435
-0.09577407,-0.09551972,-0.0930915,-0.09331211
-0.095721625,-0.09525107,-0.09359721,-0.09439175
-0.0945646,-0.095459275,-0.09275064,-0.09235293
-0.0960163,-0.09461987,-0.09285986,-0.015860695
-0.09529312,-0.09597789,-0.09250918,-0.09282641
-0.09546319,-0.094673194,-0.092990674,-0.092206
-0.09458159,-0.095022164,-0.092617325,-0.08935469
-0.0949106,-0.094070844,-0.092598096,-0.1327621
-0.093411766,-0.094018206,-0.09203129,-0.22908275
-0.09478222,-0.0952541,-0.092490435,-0.0841726
-0.09542309,-0.09460869,-0.09308271,-0.0928352
-0.09528731,-0.095907666,-0.093227,-0.09490971
-0.09537525,-0.095247224,-0.092681594,-0.091550685
-0.0965231,-0.09428241,-0.093264796,-0.093547165
-0.095828034,-0.0958579,-0.0928186,-0.09334682
-0.09548857,-0.09476914,-0.0930336,-0.093512155
-0.09542495,-0.094969094,-0.09230488,-0.092761174
-0.094576016,-0.094989404,-0.09336396,-0.10037719
-0.09538545,-0.09496455,-0.092537254,-0.094479546
-0.09522729,-0.09630434,-0.09292314,-0.088630125
-0.09518379,-0.09530054,-0.092194974,-0.06585927
-0.09436436,-0.09508588,-0.092272356,-0.09250933
-0.09513867,-0.09523369,-0.09206597,-0.09179522
-0.094700634,-0.09528677,-0.09251718,-0.08625522
-0.09597583,-0.09590937,-0.092886046,-0.09336582
-0.09514971,-0.09496333,-0.092125095,-0.04149824
-0.09509399,-0.093763724,-0.09157866,-0.089808926
-0.09572925,-0.0961146,-0.09346523,-0.09179102
-0.09674145,-0.09537769,-0.09352852,-0.09254331
-0.09587705,-0.095990285,-0.09293857,-0.100087106
