2022-12-06 11:25:14,326 INFO    MainThread:2518664 [wandb_setup.py:_flush():68] Configure stats pid to 2518664
2022-12-06 11:25:14,327 INFO    MainThread:2518664 [wandb_setup.py:_flush():68] Loading settings from /home/sin/.config/wandb/settings
2022-12-06 11:25:14,327 INFO    MainThread:2518664 [wandb_setup.py:_flush():68] Loading settings from /home/sin/PycharmProjects/tutorial/wandb/settings
2022-12-06 11:25:14,327 INFO    MainThread:2518664 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-06 11:25:14,327 INFO    MainThread:2518664 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'dbscan.py', 'program': '/home/sin/PycharmProjects/tutorial/dbscan.py'}
2022-12-06 11:25:14,327 INFO    MainThread:2518664 [wandb_init.py:_log_setup():476] Logging user logs to /home/sin/PycharmProjects/tutorial/wandb/run-20221206_112514-9ti0fqs8/logs/debug.log
2022-12-06 11:25:14,327 INFO    MainThread:2518664 [wandb_init.py:_log_setup():477] Logging internal logs to /home/sin/PycharmProjects/tutorial/wandb/run-20221206_112514-9ti0fqs8/logs/debug-internal.log
2022-12-06 11:25:14,328 INFO    MainThread:2518664 [wandb_init.py:init():516] calling init triggers
2022-12-06 11:25:14,328 INFO    MainThread:2518664 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {}
2022-12-06 11:25:14,328 INFO    MainThread:2518664 [wandb_init.py:init():569] starting backend
2022-12-06 11:25:14,328 INFO    MainThread:2518664 [wandb_init.py:init():573] setting up manager
2022-12-06 11:25:14,332 INFO    MainThread:2518664 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-06 11:25:14,336 INFO    MainThread:2518664 [wandb_init.py:init():580] backend started and connected
2022-12-06 11:25:14,339 INFO    MainThread:2518664 [wandb_init.py:init():658] updated telemetry
2022-12-06 11:25:14,339 INFO    MainThread:2518664 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-12-06 11:25:14,948 INFO    MainThread:2518664 [wandb_run.py:_on_init():2000] communicating current version
2022-12-06 11:25:15,103 INFO    MainThread:2518664 [wandb_run.py:_on_init():2004] got version response 
2022-12-06 11:25:15,103 INFO    MainThread:2518664 [wandb_init.py:init():728] starting run threads in backend
2022-12-06 11:25:18,832 INFO    MainThread:2518664 [wandb_run.py:_console_start():1980] atexit reg
2022-12-06 11:25:18,833 INFO    MainThread:2518664 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-06 11:25:18,833 INFO    MainThread:2518664 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-06 11:25:18,833 INFO    MainThread:2518664 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-06 11:25:18,834 INFO    MainThread:2518664 [wandb_init.py:init():765] run started, returning control to user process
2022-12-06 11:26:01,513 WARNING MsgRouterThr:2518664 [router.py:message_loop():77] message_loop has been closed
