2022-12-06 11:44:04,178 INFO    MainThread:2520330 [wandb_setup.py:_flush():68] Configure stats pid to 2520330
2022-12-06 11:44:04,179 INFO    MainThread:2520330 [wandb_setup.py:_flush():68] Loading settings from /home/sin/.config/wandb/settings
2022-12-06 11:44:04,179 INFO    MainThread:2520330 [wandb_setup.py:_flush():68] Loading settings from /home/sin/PycharmProjects/tutorial/wandb/settings
2022-12-06 11:44:04,179 INFO    MainThread:2520330 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-06 11:44:04,179 INFO    MainThread:2520330 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'dbscan.py', 'program': '/home/sin/PycharmProjects/tutorial/dbscan.py'}
2022-12-06 11:44:04,179 INFO    MainThread:2520330 [wandb_init.py:_log_setup():476] Logging user logs to /home/sin/PycharmProjects/tutorial/wandb/run-20221206_114404-2q2seuot/logs/debug.log
2022-12-06 11:44:04,179 INFO    MainThread:2520330 [wandb_init.py:_log_setup():477] Logging internal logs to /home/sin/PycharmProjects/tutorial/wandb/run-20221206_114404-2q2seuot/logs/debug-internal.log
2022-12-06 11:44:04,179 INFO    MainThread:2520330 [wandb_init.py:init():516] calling init triggers
2022-12-06 11:44:04,179 INFO    MainThread:2520330 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {}
2022-12-06 11:44:04,180 INFO    MainThread:2520330 [wandb_init.py:init():569] starting backend
2022-12-06 11:44:04,180 INFO    MainThread:2520330 [wandb_init.py:init():573] setting up manager
2022-12-06 11:44:04,183 INFO    MainThread:2520330 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-06 11:44:04,185 INFO    MainThread:2520330 [wandb_init.py:init():580] backend started and connected
2022-12-06 11:44:04,188 INFO    MainThread:2520330 [wandb_init.py:init():658] updated telemetry
2022-12-06 11:44:04,188 INFO    MainThread:2520330 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-12-06 11:44:04,758 INFO    MainThread:2520330 [wandb_run.py:_on_init():2000] communicating current version
2022-12-06 11:44:04,882 INFO    MainThread:2520330 [wandb_run.py:_on_init():2004] got version response 
2022-12-06 11:44:04,882 INFO    MainThread:2520330 [wandb_init.py:init():728] starting run threads in backend
2022-12-06 11:44:08,252 INFO    MainThread:2520330 [wandb_run.py:_console_start():1980] atexit reg
2022-12-06 11:44:08,252 INFO    MainThread:2520330 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-06 11:44:08,253 INFO    MainThread:2520330 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-06 11:44:08,253 INFO    MainThread:2520330 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-06 11:44:08,254 INFO    MainThread:2520330 [wandb_init.py:init():765] run started, returning control to user process
2022-12-06 11:44:52,740 WARNING MsgRouterThr:2520330 [router.py:message_loop():77] message_loop has been closed
